Column1,리뷰,날짜,early_access 유무,"src(1= 긍정, 0 = 부정)"
12,"
== 가격 ==
□ 정가 줘도 좋음
□ 20% 세일까지 존버
■ 50% 세일까지 존버
□ 70% 이상 세일까지 존버

== 그래픽 ==
인디기준
□ 개아름다움
■ 아주 좋음
□ 좋음
□ 그냥 그럼
□ 별로임

== 사운드 ==
■ 개황홀함
□ 아주 좋음
□ 좋음
□ 그냥 그럼
□ 별로임

== 사양 ==
□ 초고사양 컴
□ 고사양 컴
■ 적당한 컴
□ 가정용 컴
□ 노트북

== 한글화 ==
■ 한글화가 되어있음
□ 한글화가 되어있는데 애매함
□ 유저 한글화가 되어있음
□ 유저 한글화가 되어있는데 애매함
□ 비한글화지만 지장 없음
□ 비한글화로 플레이가 어려움

== 난이도 ==
□ 고인물 맞춤
□ 어려움
□ 적당함
□ 쉬움
□ 유아용 수준
■ 조절가능
== 스토리 ==
□ 미쳤음
□ 재미있음
□ 평범함
□ 별로임
■ 스토리 없음

== 플레이타임 ==
■ 100시간 이상
□ 50시간 이상
□ 30시간 이상
□ 10시간 이상
□ 5시간 이상
□ 1~4시간

== 버그 ==
■ 전혀 없음
□ 1~2개 있음
□ 자주 보임
□ 꽤 많음
□ 플레이 불가 수준
□ 게임 자체가 버그

== 게임성 ==
□ 완벽에 가까움
■ 굉장히 재미있음
□ 재미있음
□ 적당했음
□ 별로임
□ 쓰레기임",2020-07-04,0,1
13,"

바람에게 부탁해",2019-12-21,1,1
14,"
60%이상 할인하면 사셈",2020-10-31,0,1
15,"
[[ 그래픽 ]]
□ 황홀함
■ 멋있고 개성 있음
□ 개성 있음
□ 괜찮음
□ 못 봐줄 수준은 아님
□ 불편함
□ 눈을 가리고 싶어짐

[[ 사운드 ]]
□ 기저귀 갈아야 됨
■ 찰짐
□ 알맞음
□ 괜찮음
□ 싫증남
□ 구림
□ 고막을 찢고 싶음

[[ 인터페이스 ]]
□ 게임이 나를 엄마보다 잘 챙겨줌
□ 유저 친화적
■ 크게 불편하지 않음
□ 약간 귀찮음
□ 비효율적이고 답답함
□ 플레이 자체가 노동

[[ 사양 ]]
□ 할머니댁 컴퓨터
□ 노트북
□ 보급형 컴퓨터
■ 적당한 컴퓨터
■ 고사양 컴퓨터
□ 초고사양 컴퓨터

[[ 한국어화 ]]
□ 번역이 원본을 뛰어넘음
■ 제대로 한국어화가 되어있음
□ 한국어화가 되어있는데 애매함
□ 유저 한국어화가 되어있음
□ 유저 한국어가 되어있는데 애매함
□ 비한국어화지만 지장 없음
□ 비한국어화로 플레이가 어려움

[[ DLC ]]
□ 없음
□ 캐릭터 꾸밈 컨텐츠나 가벼운 추가 컨텐츠(무기, 아이템, 추가 임무)를 구매할 수 있음
□ 확장판 수준의 컨텐츠 추가 DLC가 하나 혹은 몇 개 있음
□ 컨텐츠의 대부분을 DLC로 발매함
■ DLC를 구매하지 않으면 게임 플레이에 지장이 있음

[[ 모드 ]]
□ 모드가 이 게임의 핵심
□ 다양하고 종류가 많음
□ 비공식 추가 컨텐츠 모드들이 있음
□ 텍스처 개선 및 커스텀 스킨 등 가벼운 모드 위주
■ 모드 설치 불가능 / 모드 제작자 없음

[[ 난이도 ]]
□ 세 살 조카도 가능
□ 우리 엄마도 가능
□ 켠김에 왕까지 문제 없음
□ 난이도를 줄이는 방법이 있음
□ 적응되면 할 만함
■ 고인물 게임
□ 사람이 할 짓이 아님

[[ 레벨 디자인 ]]
□ 레벨 디자인 교과서
□ 독보적임
□ 참신함
■ 평이함
□ 허술함
□ 부조리함
□ 한숨이 절로 나옴

[[ 플레이타임(주관적) ]]
■ 100시간 이상
□ 50시간 이상
□ 30시간 이상
□ 10시간 이상
□ 5시간 가량
□ 1시간 이하

[[ 버그 ]]
■ 발견하지 못함
□ 크게 신경 쓰이지 않음
□ 꽤 많음
□ 플레이 불가 수준
□ 게임 자체가 버그 덩어리

[[ 몰입도 ]]
□ 정신을 차리고 보니 다음날
■ 시간이 너무 잘 감
□ 빠져듬
□ 적당함
□ 집중이 안 됨
□ 합법 고문

[[ 중독성 ]]
□ 일상생활이 안 됨
□ 다른 일을 하다가도 생각이 남
■ 가끔씩 하고 싶음
□ 엔딩 본 이후로 안하게 됨
□ 이런 게임이 있었나..?

[[ 노가다 ]]
□ 필요 없음
□ 필요한 부분만 하면 됨
■ 노가다를 해야 해금되는 요소가 있음
□ 게임 내의 불편한 점을 해소하려면 노가다를 해야함
□ 노가다를 여러가지 해야 됨
□ 노가다를 하지 않으면 아예 진행이 안 됨

[[ 게임성 ]]
□ 완벽에 가까움
■ 정교함
□ 쫄깃함
□ 적절함
□ 부족함
□ 지루함
□ 게임이 아님
□ AVGN

[[ 밸런스 ]]
■ 고루고루 적당함
□ 적당하지 않음
□ 오버밸런싱임
□ 신캐만 ㅈㄴ쌤

[[ 컨트롤 ]]
□ 고인물 특화 루트가 있음
■ 기술이 많음
□ 튜토리얼에 있는 게 끝임

[[ 멀티 ]]
□ 12인 이상
□ 10인 이상 12인 미만
□ 8인 이상 10인 미만
■ 6인 이상 8인 미만
□ 4인 이상 6인 미만
□ 2인 이상 4인 미만
□ 1인용

킬링타임용으로 적당한 국밥같은게임. 할인으로 샀다가 환불했는데
이틀이 지나고 손맛이 그리워져 사려고 했지만 할인이 끝나버림.
그래서 그냥 정가로 구매함 (DLC는 할인하면 구매 예정)
패스권은 안사면 좀 꼬움 (패스권 있으면 온라인 공개방에서 모든곡 플레이 가능/없으면 옵저버하고 노래만 감상해야함)
타격감이 매우 찰지고 본인이 리듬게임 웬만큼 한다싶으면 사셈 돈 안아까운 게임
다만 리듬게임 특성상 고인물이 존나게 많음
나도 어느정도 한다고 생각했으나 여기 오니 개초보임.... 뉴비수준

결론 ★★★★☆ 4.5점",2021-10-12,0,1
16,"
아 빡치네 사이드 트랙 만든 기획자 붕알 때리고 싶네",2020-06-27,0,1
17,"
존나비쌈",2020-08-07,0,1
18,"

13년 전 초등학생때 학교 앞 상가 문방구에서
차카니랑 100원짜리 껌 하나 사서 EZ2DJ를 하고
동네 친구들하고 놀이터에서 옥상탈출 하며 놀다
집에오면 DJMAX 온라인을 하던때가 있었는데
지금은 털난 아저씨마냥 변했네",2020-01-04,1,1
19,"
하나 장만해두면 가끔 이용하기 좋은 여름철 선풍기같은 게임",2021-09-14,0,1
20,"
재밌는데 사람 유입이 없네
비싸서 그런듯",2020-05-18,0,1
21,"
전교1등이 하나틀리고 우는 이유를 알게해주는 게임",2022-09-24,0,1
22,"
스팀이 디맥 구동기라고 할 정도로 디맥만 하는 사람입니다.
근본적인 문제였던 오디오 레이턴시 이슈가 완화되면서
이제야 리듬'게임'에 가까워졌다고 볼 수 있겠지만,
다양한 사람들의 불만 요소는 기존의 책정된 가격 부분이라고 생각되네요.

DJMAX는 다른 리듬게임보다 BGA와 키음에 포커스를 맞추고
게임과 DLC를 제작하기에 곡마다의 퀄리티 수준은 높은 편입니다.
그래서, 한 곡을 플레이할 때는 [노래 + 키음 + BGA + 패턴]이 복합적으로 구성되어 있어
단가가 살짝 비싸게 책정됩니다.

이 부분을 감안하여 오래 게임을 한 입장에서는
게임과 DLC 자체의 가격은 납득할만하다고 생각되지만,
새롭게 유입되는 사람들의 입장에서는 가격대가 높다고 생각될 수밖에 없을거 같네요.

(신규 유저한테는 전부 신곡이나 다름없지만, 본래 하던 분들은 대부분의 곡이 이미 경험해봤던 것이라서,
""포팅곡이 대부분인데, 게임 가격대가 높게 책정되어있다""고 말하는 것도 이해가 되는 부분이네요)

이유를 따져보자면, 유입 유저들은 '곡 자체'에 중심을 두고 '가볍게' 플레이하려고 하기 때문입니다.

그에 반해, 게임 자체의 가격도 세일을 하지 않으면 고가로 형성되어있고
DLC도 지금까지 발매한 시리즈가 워낙 방대하기 때문에,
전부 포함하면 게임 몇개를 구입할 수 있는 가격이라서 선뜻 구매하기가 쉽지 않습니다.

개인적 견해는 현재 여름 세일을 하고 있는 이 가격대가
가장 합리적으로 구매할 수 있는 금액이지 않을까 싶네요.
이 세일 기간에서의 판매량을 눈여겨보고 많은 분들이 의견으로 남긴 불만사항을 피드백하여
추후 자체 가격대를 낮추는 방안도 진지하게 고려해볼만하지 않을까 싶습니다.",2020-07-02,0,1
23,"
갓겜",2022-04-11,0,1
24,"
다른건 괜찮지만 래더만큼은 운영이 잘못되어가고 있다.",2021-08-20,0,0
25,"
걍 꾸준히 하다보면 손가락이 반응하고 동체시력 향상으로 안보이던 노트가 느리게 보이기 시작함 나 자신이 RPG처럼 레벨업하는 느낌이 이 게임의 진짜 재미임",2021-12-02,0,1
26,"
와! 디제이맥스!",2019-12-19,0,1
27,"
이 게임은 5만원이 아니다.",2020-08-25,0,1
28,"
퍼펙하는 사람들 이해할 수 없다",2022-04-16,0,1
29,"
Product refunded

음악이 좋아서 샀습니다. 그리고 환불했습니다.
마지막 리듬게임을 즐기던 시절에서
10년 이상 지난 나의 두뇌와 손가락이 문제입니다.
리얼타임 전략시뮬을 포기한지 좀 되었는데,
이제는 리듬게임마저 포기하게 되는 군요.
꾸준히 해왔다면 적응했겠지만, 지금은 무리군요.
일에 쩌들어 번아웃이 되어 일을 쉬고있다가
뭔가 해볼만한 놀이가 없을까하고 뒤적거리다가
과거의 즐거움을 생각하고 질렀습니다.
이지 모드 조차 소화하지 못하는
내 자신의 반응속도에 자괴감이 들었습니다.
그래서 스팀에서 처음으로 환불해봤습니다.
다른 분들은 몸이 따라갈 때 리듬게임 많이 즐겨두시길 바랍니다.",2020-11-02,0,1
30,"
게임은 좋지만 DLC 총합 212,000원 실화냐? 진짜 가슴이 웅장해진다..",2020-06-06,0,0
31,"

잼슴니다",2019-12-19,1,1
32,"
노래언락 한세월",2019-12-21,0,1
33,"Posted: May 12
4시간동안 하며 깨달은 것 = 즐거움과 높은 벽

40시간 동안 하며 깨달은 것 = 성장의 뿌듯함과 커다란 벽

400시간 동안 하며 깨달은 것 = 드높은 벽

앞으로 하며 깨닫게 될 것 = 절대로 넘을 수 없는 거대한 벽",,0,1
34,"

진짜 다 좋은데 이 X발롬에 사이드 트랙땜에 뇌사 X나 와서 콤보 끊길때마다 발작 일으킬거같음",2019-12-23,1,1
35,"

== 가격 ==
□ 정가 줘도 좋음
■ 20% 세일까지 존버
□ 50% 세일까지 존버
□ 70% 이상 세일까지 존버

== 그래픽 ==
인디기준
□ 개아름다움
□ 아주 좋음
■ 좋음
□ 그냥 그럼
□ 별로임

== 사운드 ==
■ 개황홀함
□ 아주 좋음
□ 좋음
□ 그냥 그럼
□ 별로임

== 사양 ==
□ 초고사양 컴
□ 고사양 컴
□ 적당한 컴
■ 가정용 컴
□ 노트북

== 한글화 ==
■ 한글화가 되어있음
□ 한글화가 되어있는데 애매함
□ 유저 한글화가 되어있음
□ 유저 한글화가 되어있는데 애매함
□ 비한글화지만 지장 없음
□ 비한글화로 플레이가 어려움

== 난이도 ==
□ 고인물 맞춤
□ 어려움
□ 적당함
□ 쉬움
□ 유아용 수준
■ 조절가능
== 스토리 ==
□ 미쳤음
□재미있음
□ 평범함
□ 별로임
■ 스토리 없음

== 플레이타임 ==
■ 100시간 이상
□ 50시간 이상
□ 30시간 이상
□ 10시간 이상
□ 5시간 이상
□ 1~4시간

== 버그 ==
■ 전혀 없음
□ 1~2개 있음
□ 자주 보임
□ 꽤 많음
□ 플레이 불가 수준
□ 게임 자체가 버그

== 게임성 ==
□ 완벽에 가까움
■ 굉장히 재미있음
□ 재미있음
□ 적당했음
□ 별로임
□ 쓰레기임",2020-02-02,1,1
36,"
내손은 병@신이다",2021-05-05,0,1
37,"
회사 짤리고 기분 개같아서 공부도 안 잡히고 영화도 안 잡히고 게임도 손에 안 잡히는데
세션이 짧은 리듬게임 하니까 기분이 좀 나아지더라",2021-04-23,0,1
38,"
세일할 때 사세요",2020-09-06,0,1
39,"
가격인하좀해주세요 재미는있는데 너무 비싸요..ㅜ",2020-05-23,0,1
40,"
뭐 다 좋은데 염라 왜 반토막 냈는지 이유좀 4분 풀로 다 칠테니까 풀버전좀;;",2021-01-29,0,1
41,"
다 좋은데 멀티할때도 기어 화면 중앙에 배치할 수 있게 해주세요
플탐 100시간 정도 되면 모가지 왼쪽으로 45도 정도 비틀어진 병순 될거같음",2022-03-26,0,1
42,"
4키최고",2022-01-18,0,1
43,"
2008년에 PC플랫폼으로 등장했던 트릴로지 이후 12년만에 정식으로 출시된 PC용 DJMAX입니다.
PC온라인 게임이던 DJMAX 온라인을 휴대용 콘솔인 PSP로 이식했던 포터블 시리즈와는 반대로 거치형 콘솔인 PS4용으로 출시되었던 리스펙트를 PC용으로 이식했는데, 게임의 전체적인 만족도만 보면 추천을 누르고 이 평가를 쓰고 있다는 점만으로도 그나마 제대로 된 PC용 리듬게임을 갈구했던 사람들에게 '그나마' 단비같은 게임임에는 틀림이 없습니다.

다만 PC용을 콘솔용으로 이식할 떄에는 조작계 특성을 감안해서 최대한 최적화를 했던 것과는 다르게
콘솔용을 PC용으로 별다른 생각 없이 조금만 바꿔서 이식했다는 점에 있어서 로키 스튜디오 이전 시절의 구 펜타비전 때에 봤던 정성스러움은 다소 사라진 것 같아 아쉽네요.

주요 컨텐츠가 거의 동일한 트릴로지와 비교해보자면 더더욱 실망할 수 있는 부분이 많아서 아쉽습니다.

* 장점
- 드디어 PC에서도 제대로 된 노트 낙하식 리듬게임을 즐길 수 있음
- 믿고 즐기는 높은 퀄리티의 수록곡과 BGA
- 리듬게임에서 즐길 수 있는 기본적인 요소는 놓치지 않고 있음
- 추가 수록곡 DLC의 괜찮은 가성비
- 고인물판이라 그렇지 모드 자체는 생각 이상으로 잘 짜여진 온라인 플레이
- 이런 게 재밌겠나 했는데 의외로 괜찮았던 AIR모드
- 방대한 수집 요소와 업적 시스템
- 비교적 괜찮은 수준에서 타는 하드웨어 요구사항
- 역대 디맥들과 비교하면 비교적 적절하게 잡은 밸런스(상대적으로 쉽다)

* 단점
- 자체 엔진이 아닌 유니티로 제작하면서 못 잡은 싱크 밀림(오디오 레이턴시 기본 발생). 리듬게임인데 싱크가 기본으로 밀리는 게 당연하다고? 그럼 DMO하고 트릴로지는 어케 그걸 잡았누? 자체 엔진이라서?
-> 2020년 6월 18일 패치로 잡았네요, 이 부분은 거르고 보시면 될 것 같습니다. 패치 이후 판정이 확실하게 잡힌 게 맞습니다.

- 원래 목적에 맞추지 못해 선택이 무의미한데다 게임 플레이에 영향을 주는 주사율 옵션. 수직동기화에서 판정이(=싱크가) 제일 어긋나고 고정 프레임 수치가 올라갈 수록 싱크와 함께 판정이 후해짐. 그렇다고 싱크 옵션을 손봐도 그게 또 그렇게 잘 맞지를 않음.
- 판정선 위치. 플레이큐 시스템이 아닌데 왜 플레이큐가 있는 것 처럼 판정선을 올려놔서 UX를 안 좋게 하는건지? 이건 PC용이지 가정용 콘솔판이 아닌데?
- 불필요한 사이드 노트의 존재. 아날로그 노트가 안 되니 이걸 대용으로 채택한 것으로 보이는데 조작계 특성 상 사이드 노트로 인해 4, 5, 6, 8키가 실제로는 4BFX, 5BFX, 6BFX, 8BFX가 되는데 이걸 왜 고집했을까? 심지어 키보드 특성 상 새끼손가락을 고이 걸어야 하는 경우가 대다수여서 이걸 치는 게 그렇게 재밌는 것도 아님. POP/STAR라던가 사이드노트 패턴을 잘 활용한 패턴이 있기는 하지만 이미 그렇게 패턴을 짠 시점에서 이건 아날로그 노트 대체가 아니라 그냥 FX화.
- 기어셋+UI DLC의 무리수 이상의 가격정책
- EMOTIONAL SENSE DLC가 있다지만 시리즈의 정규작에서 DMO를 빼고 카운트한다니 시리즈의 근본을 부정하세요? 트릴로지에도 멀쩡하게 들어가 있는 곡들조차도 없는데 왜 리마스터링을 못 하는 거죠?


리듬게임을 지겹도록 오래 해서 기준선이 잡혀 있는 틀딱들한테는 2020년 상반기 시점에서는 노오오오력이 부족한 게임인 게 맞습니다. 그런데 그런 걸 제외하면 PC에서 즐길 수 있는 리듬게임 중에서는 상태가 가장 양호하고 자체 컨텐츠의 질이 매우 좋아서 이걸 서로 상쇄하고 있어요. 하지만 정식 릴리즈가 된 지 1개월이 넘었는데도 얼리억세스 시절부터의 근본적이고 고질적인 문제의 해결이 지지부진 한 것은 분명 무언가 개발 당사자들만 아는 해결하기 어려운 문제점을 계속 끌어안고 있다는 거겠죠.

세부 옵션에 둔감한 게이머라면 본 타이틀은 확실하게 추천할 만한 리듬게임입니다.
그런데 이런저런 옵션 넣고 씹뜯맛즐하는 게이머라면 구조적인 문제점이 눈에 띄게 보일거에요.


*결론 : 12년만에 반복된 트릴로지의 재림. 못 잡고 나온 문제점을 패치의 향연으로 해결하는 게 이미 트릴로지의 상황 반복 되겠습니다. 다만 편의성은 트릴로지가 훨씬 더 좋은 게 아이러니. 꾸준히 개선을 하고 있는데 오히려 본판인 PS4용 리스펙트가 피해를 받는 상황이라니?!

**'니가 디맥을 해 봤으면 얼마나 해 봤냐'라고 물을까봐 쓰는건데 DJMAX Online 클로즈드 알파테스트 참가 인원 중 하나였습니다 사이트 내부에 당시 테스터들 게시판 있었다는 거 아는 사람?) EZ2DJ에서부터 시작해서 16년째 이 게임 하고 있는건데 모르는 게 없지는 않지만 다른 분들보다는 오래 즐겨왔다고는 자부합니다.

***주사율 옵션 관련해서 본체 사양이 후달리냐고 할까봐 사양도 같이 기재함.
Ryzen 5 3500x/DDR4 32GB/500GB+128GB+750GB SSD+1TB HDD(디맥은 SSD에서 돌림)/RADEON RX580 8GB, 해상도는 1920*1080(경계 없는 창 모드)으로 세팅",2020-04-24,0,1
44,"

플스에도 디맥이 있고 스팀에도 디맥이 있으면 당신은 참된 흑우",2020-01-10,1,1
45,"
좀 사소한건데 디맥 게임 사운드 50% 이하로 낮출수 있게 해주면 좋겠음 가끔 까먹고 소리 안줄이고 켰을때 놀랄때가 많음. 디스코드로 얘기하면서 하다보면 목소리가 안들리거나...",2020-11-10,0,1
46,"Posted: January 24
지금 눈물이 나는건 감동 받아서 흘리는게 아니라, 눈이 피로해서다..

나이 쳐먹으니 노트가 안보이네...",,0,1
47,"
아니 님들 저게 보임?",2022-08-06,0,1
48,"
음악은 나를 옭아맬 수 없다

내가 박자를 지배한다

(78.01%)",2020-09-11,0,1
